id,sciName,mainCommonName,otherCommonNames,majorType,majorSubtype,order,family,subfamily,tribe,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authoritySpeciesFullcitation,authoritySpeciesLink,holotypeVoucher,taxonomyNotes,taxonomyNotesCitation,biogeographicRealm,MSW3_matchtype,MSW3_sciName,extinct,domestic,flagged,newSppSinceMSW3,
17,Abrothrix_longipilis,Long-haired Soft-haired Mouse,Long-haired Akodont|Long-haired Grass Mouse,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,longipilis,Waterhouse,1837,,,,NA,NA,Neotropic,sciname match,Abrothrix_longipilis,0,0,0,0,
18,Abrothrix_manni,Mann’s Soft-haired Mouse,Mann’s Akodont,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,manni,"D'Elía, Teta, Upham, Pardiñas, & Patterson",2015,,,,NA,NA,Neotropic,unmatched,NA,0,0,0,1,
19,Abrothrix_olivacea,Olive Soft-haired Mouse,Olive-colored Akodont|Olive Grass Mouse,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,olivacea,Waterhouse,1837,,,,spelled 'olivacea' to match generic gender and includes markhami,"Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.",Neotropic,manual,Abrothrix_olivaceus,0,0,0,0,
20,Abrothrix_sanborni,Sanborn’s Soft-haired Mouse,Sanborn’s Akodont|Sanborn’s Grass Mouse,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,sanborni,Osgood,1943,,,FMNH22726,NA,NA,Neotropic,sciname match,Abrothrix_sanborni,0,0,0,0,
21,Abrothrix_xanthorhina,Yellow-nosed Soft-haired Mouse,Yellow-nosed Akodont,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,xanthorhina,Waterhouse,1837,,,,"includes hershkovitzi, sometimes included under olivacea","Abud, C. (2011). Variación genética y estructura filogeográfica de Abrothrix olivaceus en la Patagonia argentina y el sur chileno (Doctoral dissertation, Master thesis, PEDECIBA). and HMW7",Neotropic,unmatched,NA,0,0,0,1,
22,Acerodon_celebensis,Sulawesi Flying Fox,Sulawesi Acerodon|Sulawesi Fruit Bat,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,PTEROPODINI,Acerodon,celebensis,Peters,1867,,,,NA,NA,Australasia/Oceania,sciname match,Acerodon_celebensis,0,0,0,0,
23,Acerodon_humilis,Talaud Flying Fox,Talaud Acerodon|Talaud Fruit Bat,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,PTEROPODINI,Acerodon,humilis,K. Andersen,1909,,,,NA,NA,Indomalaya,sciname match,Acerodon_humilis,0,0,0,0,
24,Acerodon_jubatus,Golden-capped Flying Fox,Golden-capped Fruit Bat|Golden-crowned Flying Fox|Panay Golden-capped Flying Fox,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,PTEROPODINI,Acerodon,jubatus,Eschscholtz,1831,,,,NA,NA,Indomalaya,sciname match,Acerodon_jubatus,0,0,0,0,
25,Acerodon_leucotis,Palawan Flying Fox,Palawan Fruit Bat,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,PTEROPODINI,Acerodon,leucotis,Sanborn,1950,,,,NA,NA,Indomalaya,sciname match,Acerodon_leucotis,0,0,0,0,
26,Acerodon_macklotii,Sunda Flying Fox,Sunda Fruit Bat,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,PTEROPODINI,Acerodon,macklotii,Temminck,1837,,,,was spelt 'mackloti',NA,"Indomalaya, Australasia/Oceania",sciname match,Acerodon_mackloti,0,0,0,0,
27,Acinonyx_jubatus,Cheetah,,Placentalia,Boreoeutheria,CARNIVORA,FELIDAE,FELINAE,NA,Acinonyx,jubatus,Schreber,1775,,,,"4 well supported subspecies: A.j. jubatus, A.j., venaticus, A.j. hecki, A.j. soemmeringii","Kitchener A. C., Breitenmoser-Würsten Ch., Eizirik E., Gentry A., Werdelin L., Wilting A., Yamaguchi N., Abramov A. V., Christiansen P., Driscoll C., Duckworth J. W., Johnson W., Luo S.-J., Meijaard E., O'Donoghue P., Sanderson J., Seymour K., Bruford M., Groves C., Hoffmann M., Nowell K., Timmons Z. & Tobe S. 2017. A revised taxonomy of the Felidae. The final report of the Cat Classification Task Force of the IUCN/SSC Cat Specialist Group. Cat News Special Issue 11, 80 pp.","Afrotropic, Indomalaya, Palearctic",sciname match,Acinonyx_jubatus,0,0,0,0,
28,Acomys_cahirinus,Northeast African Spiny Mouse,Cairo Spiny Mouse|Egyptian Spiny Mouse|Greater Wilfred’s Mouse|Western Saharan Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,cahirinus,É. Geoffroy Saint-Hilaire,1803,,,,NA,NA,"Afrotropic, Palearctic",sciname match,Acomys_cahirinus,0,0,0,0,
29,Acomys_chudeaui,Chudeau’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,chudeaui,Kollman,1911,,,,includes airensis,"Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G. (2009). Phylogeography of spiny mice (genus Acomys, Rodentia: Muridae) from the south-western margin of the Sahara with taxonomic implications. Biological Journal of the Linnean Society, 98(1), 29-46.",Palearctic,sciname match,Acomys_chudeaui,0,0,0,1,
30,Acomys_cilicicus,Turkish Spiny Mouse,Cilician Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,cilicicus,Spitzenberger,1978,,,,NA,NA,Palearctic,sciname match,Acomys_cilicicus,0,0,0,0,
